array_path,enum_table,value,occurrence_count
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1820334,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1824206,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1841,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1911916,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1917413,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,1924066,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2015691,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2016493,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2017233,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2017865,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2020676,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2023826,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2024168,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2024800,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2025587,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2027111,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2027454,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2083544,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2112667,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2124215,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2125050,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2150060,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2182208,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2182318,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2183456,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2210968,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2214133,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2243072,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2243471,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2245578,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2416455,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2432235,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2434772,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2510954,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2511556,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2515379,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2517506,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2518422,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2518435,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2522007,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2647580,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2936999,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,2939693,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3000204334,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3000204775,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3000717925,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3000719308,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3000931034,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3001236905,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3001316879,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3001362763,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3001431138,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3001451326,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3001584317,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3001644026,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002088145,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002299608,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002465150,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002519584,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002619595,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002637618,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002655016,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002773840,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002803444,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002806269,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002806315,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002806359,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002806434,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002806476,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002806485,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002806535,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002806725,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002806988,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002807167,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002807204,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002807554,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002807626,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002807687,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002807798,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002808194,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002808267,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002808268,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002808331,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002808437,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002808442,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002808445,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002809144,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002809369,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002963732,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002964398,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002975287,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3002980729,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3003045237,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3003105983,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3003124453,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3003166194,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3003179719,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3003264198,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3003306248,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3003348376,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3003398873,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3003481798,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3003495548,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3003604053,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3003737899,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3003761017,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3003793491,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3003898360,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3003925919,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3003981983,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3003990090,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3004007782,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3004097451,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3004106598,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3004123209,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3004142400,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3004213967,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3004369318,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3004426659,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3004426795,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3004529019,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3004530258,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3004531588,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3004724816,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3004753838,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3004785967,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3004837686,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3004893332,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3004936110,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3004973408,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3005075853,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3005085999,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3005094123,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3005099803,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3005168196,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3005248192,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3005334138,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3005581270,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3005641545,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3005650109,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3005670221,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3005747797,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3005791775,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3005868392,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3005899764,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3005921952,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3006076154,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3006108784,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3006179046,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3006232063,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3006260740,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3006345872,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3006413195,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3006425876,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3006513822,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3006515340,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3006560326,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3006630150,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3006697299,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3006742481,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3006845464,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3006948883,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3007093114,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3007111389,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3007155473,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3007208013,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3007208829,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3007215625,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3007305485,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3007420875,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3007530363,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3007615665,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3007666314,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3007700286,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3007797756,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3007886187,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3007972010,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3008145987,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3008185830,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3008237827,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3008274656,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3008579854,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3008630266,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3008632402,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3008766073,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3008792120,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3008817245,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3009862700,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3010024164,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3010097867,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3010119152,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3010300699,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3010363671,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3010457505,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3010606546,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3010813691,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3010878085,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3011011193,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3011035812,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3011050570,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3011270181,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3011386779,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3011468686,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3011560054,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3011610434,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3011628389,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3011649314,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3011651230,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3011706110,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3012130335,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3012146457,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3012172416,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3012222873,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3012239564,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3012290852,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3012307300,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3012309950,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3012447612,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3012563838,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3012608866,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3012712027,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3012787974,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3012916784,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3012931345,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3013461531,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3014334038,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3014421917,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3014447948,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3014522447,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3014616394,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3014732157,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3014909464,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3015000676,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3015053858,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3015228875,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3015365904,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3015537318,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3015551113,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3015967359,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3016541541,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3016573902,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3016798778,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3019511659,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3021637148,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3025305436,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3027098402,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3029772936,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3030187577,-
event.device[0].openfda.fei_number,event_913f_openfda_fei_number,3030411493,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1000113657,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1000312731,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1000317571,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1000432246,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1018233,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1020279,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1025402,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1028232,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1030489,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1034569,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1037007,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1037905,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1038671,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1045254,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1063481,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1119779,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1125782,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1211998,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1213643,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1213809,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1216677,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1218950,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1219029,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1219071,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1220246,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1220648,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1220948,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1221084,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1221359,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1221934,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1222780,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1316463,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1318694,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1319808,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1319809,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1415939,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1416980,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1417592,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1419341,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1421101,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1423395,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1423537,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1526439,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1610287,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1625685,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1627487,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1628664,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1643264,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1644019,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1644408,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1644487,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1649833,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1710034,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1719513,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1722028,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1723170,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1818910,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1820334,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1824206,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1911916,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1917413,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,1924066,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,2015691,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,2016493,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,2017233,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,2017865,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,2020676,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,2023826,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,2024168,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,2024800,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,2025587,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,2027111,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,2027454,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,2028159,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,2029214,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,2030964,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,2031966,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,2032227,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,2083544,-
event.device[0].openfda.registration_number,event_913f_openfda_registration_number,2112667,-
